Tag,Text,Href,Src,Value,Date-Time
a,Sanitaryware,https://www.snapdeal.com/products/kitchen-bathroom-fittings-sanitaryware,,,
p,View All,,,,
a,View All,https://www.snapdeal.com/products/kitchen-bathroom-fittings?sort=plrty,,,
p,Pet Supplies,,,,
a,Pet Supplies,https://www.snapdeal.com/products/home-kitchen-pet-supplies,,,
p,Dog Supplies,,,,
a,Dog Supplies,https://www.snapdeal.com/products/dog-supplies?sort=plrty&showAds=false,,,
p,Cat Supplies,,,,
a,Cat Supplies,https://www.snapdeal.com/products/cat-supplies?sort=plrty&showAds=false,,,
p,Fish & Aquatic Supplies,,,,
a,Fish & Aquatic Supplies,https://www.snapdeal.com/products/aquatic-supplies?sort=plrty&showAds=false,,,
p,Bird Supplies,,,,
a,Bird Supplies,https://www.snapdeal.com/products/bird-supplies?sort=plrty,,,
p,View All,,,,
a,View All,https://www.snapdeal.com/products/home-kitchen-pet-supplies?sort=plrty&showAds=false,,,
p,,,,,
a,,,,,
a,,https://www.snapdeal.com/offers/super_savers_offers,,,
img,,,,,
a,"Toys, Kids' Fashion & more",javascript:void(0);,,,
p,Toys,,,,
a,Toys,https://www.snapdeal.com/products/kids-toys,,,
p,Toy Cars,,,,
a,Toy Cars,https://www.snapdeal.com/products/car-toys?sort=plrty,,,
p,Electronic Toys,,,,
a,Electronic Toys,https://www.snapdeal.com/products/kids-toys-electronic-toys,,,
p,Action  Toys  & Figures,,,,
a,Action  Toys  & Figures,https://www.snapdeal.com/products/kids-toys-action-games-figures?sort=plrty,,,
p,Ride On & Scooters,,,,
a,Ride On & Scooters,https://www.snapdeal.com/products/kids-toys-ride-ons,,,
p,Outdoor Toys,,,,
a,Outdoor Toys,https://www.snapdeal.com/products/kids-toys-outdoor-sports-accessories?sort=plrty,,,
p,Soft Toys,,,,
a,Soft Toys,https://www.snapdeal.com/products/kids-toys-soft-toys,,,
p,Educational Toys,,,,
a,Educational Toys,https://www.snapdeal.com/products/kids-toys-educational-products,,,
p,Toddler Toys,,,,
a,Toddler Toys,https://www.snapdeal.com/products/kids-toys-baby-toys-accessories?sort=plrty,,,
p,Dolls & Doll Houses,,,,
a,Dolls & Doll Houses,https://www.snapdeal.com/products/kids-toys-dolls,,,
p,Activity Sets,,,,
a,Activity Sets,https://www.snapdeal.com/products/kids-toys-activity-sets?sort=plrty,,,
p,Indoor & Board Games,,,,
a,Indoor & Board Games,https://www.snapdeal.com/products/kids-toys-indoor-games-puzzles?sort=plrty,,,
p,Party Supplies,,,,
a,Party Supplies,https://www.snapdeal.com/products/kids-toys-party-supplies,,,
p,Bicycles & Tricycles,,,,
a,Bicycles & Tricycles,https://www.snapdeal.com/products/kids-toys-bicycles-tricycles,,,
p,Kids' Footwear,,,,
a,Kids' Footwear,https://www.snapdeal.com/products/kids-footwear,,,
p,Boys Footwear,,,,
a,Boys Footwear,https://www.snapdeal.com/products/kids-footwear-boys?sort=plrty,,,
p,Girls Footwear,,,,
a,Girls Footwear,https://www.snapdeal.com/products/kids-footwear-girls?sort=plrty,,,
p,Baby Footwear,,,,
a,Baby Footwear,https://www.snapdeal.com/products/kids-footwear-infants?sort=plrty,,,
p,Accessories,,,,
a,Accessories,https://www.snapdeal.com/products/fashion-kids?sort=plrty,,,
p,Eyewear,,,,
a,Eyewear,https://www.snapdeal.com/products/eyewear-kids?sort=plrty,,,
p,Kids' Watches,,,,
a,Kids' Watches,https://www.snapdeal.com/products/watches-kids?sort=plrty,,,
p,,,,,
a,,,,,
p,,,,,
a,,,,,
p,Kids' Clothing,,,,
a,Kids' Clothing,https://www.snapdeal.com/products/kids-clothing,,,
p,Girls' Clothing,,,,
a,Girls' Clothing,https://www.snapdeal.com/products/girls-clothing?sort=plrty,,,
p,Frocks & Dresses,,,,
a,Frocks & Dresses,https://www.snapdeal.com/products/girls-clothing-frocks?sort=plrty,,,
p,Lehenga Cholis & Sarees,,,,
a,Lehenga Cholis & Sarees,https://www.snapdeal.com/products/girls-clothing-lehengas?sort=plrty,,,
p,Jeans & Pants,,,,
a,Jeans & Pants,https://www.snapdeal.com/products/girls-clothing-jeans-pants?sort=plrty,,,
p,Suit Sets,,,,
a,Suit Sets,https://www.snapdeal.com/products/girls-clothing-salwar-kameez-kurtis?sort=plrty,,,
p,"Tops, Tees & Shirts",,,,
a,"Tops, Tees & Shirts",https://www.snapdeal.com/products/girls-clothing-tops-tshirts?sort=plrty,,,
p,Leggings & Jeggings,,,,
a,Leggings & Jeggings,https://www.snapdeal.com/products/girls-clothing-leggings?sort=plrty,,,
